ปีงบ,หน่วยงาน,รหัสหมวด,ชื่อหมวด,วงเงิน
2568,ฝศย. ฝ่ายเศรษฐกิจยาง,A12,ค่าเบี้ยประกันภัยต่างๆ,7000.00
2568,ฝศย. ฝ่ายเศรษฐกิจยาง,A13,ค่าพิธีการและพวงมาลา,3000.00
2568,ฝศย. ฝ่ายเศรษฐกิจยาง,A14,ค่าภาษีรถยนต์เเละรถจักรยานยนต์,11000.00
2568,ฝศย. ฝ่ายเศรษฐกิจยาง,A15,ค่าภาษีโรงเรือนและที่ดิน,280000.00
2568,ฝศย. ฝ่ายเศรษฐกิจยาง,A16,ค่าเช่าที่ดิน/ที่ราชพัสดุ,596000.00
2568,ฝศย. ฝ่ายเศรษฐกิจยาง,A17,ค่ารับรอง,70500.00
2568,ฝศย. ฝ่ายเศรษฐกิจยาง,B01,ค่าไฟฟ้า,300000.00
2568,ฝศย. ฝ่ายเศรษฐกิจยาง,B02,ค่าประปา,10000.00
2568,ฝศย. ฝ่ายเศรษฐกิจยาง,B03,ค่าไปรษณีย์,5000.00
2568,ฝศย. ฝ่ายเศรษฐกิจยาง,B04,ค่าโทรศัพท์เเละโทรสาร,15000.00
2568,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-1,ค่าจ้างเหมาบริการรักษาความปลอดภัย,540000.00
2568,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-2,ค่าจ้างเหมาบริการตัดหญ้า,30000.00
2568,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-3,ค่าจ้างเหมาบริการกำจัดปลวก,12000.00
2568,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-4,ค่าจ้างเหมากำจัดสิ่งปฏิกูล,20000.00
2568,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-5,ค่าจ้างเหมาตัดแต่งกิ่งไม้,13500.00
2568,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-7,ค่าจ้างเหมาเก็บขยะมูลฝอย,1440.00
2568,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-8,ค่าจ้างเหมาบริการบำรุงรักษาแอร์,19474.00
2568,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-9,ค่าจ้างเหมาทำความสะอาดรอบอาคาร,12000.00
